Rooms;Type;Size;Price;Address
1;værelse;30 m²;9.500  kr.;København S, Majporten
1;værelse;7 m²;2.700  kr.;Herlev, Sønderlundvej
4;lejlighed;87 m²;12.900  kr.;Glostrup, Murervangen
2;lejlighed;60 m²;7.000  kr.;Valby, Grønnehave Allé
3;lejlighed;86 m²;12.800  kr.;Glostrup, Murervangen
4;lejlighed;96 m²;13.768  kr.;Brøndby, Elektronikvej
2;lejlighed;48 m²;9.100  kr.;København Ø, Borgervænget
1;værelse;8 m²;3.500  kr.;Herlev, Havnsøvej
3;lejlighed;89 m²;12.500  kr.;Frederiksberg, Dalgas Have
1;værelse;18 m²;6.500  kr.;København V, Freundsgade
2;lejlighed;63 m²;13.493  kr.;København S, Amager Strandvej
2;lejlighed;79 m²;14.497  kr.;København S, Amager Strandvej
2;lejlighed;73 m²;14.250  kr.;København V, Matthæusgade
4;lejlighed;98 m²;14.537  kr.;Gentofte, Smakkegårdsvej
